Gene	Comparison	Set	Type	Count
Smg9	hom_vs_het_wt	mrna_abnormal	filtered	0
Smg9	hom_vs_het_wt	mrna_as_wt	filtered	22
Smg9	hom_vs_het_wt	not_used	filtered	132
Smg9	hom_vs_het_wt	ko_response	filtered	62
Ssr2	hom_vs_het_wt	ko_response	unfiltered	291
Ssr2	hom_vs_het_wt	ko_response	filtered	NA
Supt3	hom_vs_het_wt	ko_response	unfiltered	5247
Supt3	hom_vs_het_wt	mrna_abnormal	filtered	3172
Supt3	hom_vs_het_wt	mrna_as_wt	filtered	380
Supt3	hom_vs_het_wt	not_used	filtered	1886
Supt3	hom_vs_het_wt	ko_response	filtered	2515
Tial1	hom_vs_het_wt	ko_response	unfiltered	36
Tial1	hom_vs_het_wt	mrna_abnormal	filtered	3
Tial1	hom_vs_het_wt	mrna_as_wt	filtered	143
Tial1	hom_vs_het_wt	not_used	filtered	72
Tial1	hom_vs_het_wt	ko_response	filtered	207
Timmdc1	hom_vs_het_wt	ko_response	unfiltered	NA
Timmdc1	hom_vs_het_wt	ko_response	filtered	NA
Tmem30a	hom_vs_het_wt	ko_response	unfiltered	NA
Tmem30a	hom_vs_het_wt	ko_response	filtered	NA
Tmem98	hom_vs_het_wt	ko_response	unfiltered	12
Tmem98	hom_vs_het_wt	ko_response	filtered	NA
Traf2	hom_vs_het_wt	ko_response	unfiltered	4
Traf2	hom_vs_het_wt	ko_response	filtered	NA
Traf6	hom_vs_het_wt	ko_response	unfiltered	0
Traf6	hom_vs_het_wt	ko_response	filtered	NA
Trps1	hom_vs_het_wt	ko_response	unfiltered	2
Trps1	hom_vs_het_wt	ko_response	filtered	NA
Wrap53	hom_vs_het_wt	ko_response	unfiltered	NA
Wrap53	hom_vs_het_wt	ko_response	filtered	NA
Zfyve20	hom_vs_het_wt	ko_response	unfiltered	4710
Zfyve20	hom_vs_het_wt	mrna_abnormal	filtered	3020
Zfyve20	hom_vs_het_wt	mrna_as_wt	filtered	442
Zfyve20	hom_vs_het_wt	not_used	filtered	1180
Zfyve20	hom_vs_het_wt	ko_response	filtered	1665
Zkscan14	hom_vs_het_wt	ko_response	unfiltered	78
Zkscan14	hom_vs_het_wt	mrna_abnormal	filtered	0
Zkscan14	hom_vs_het_wt	mrna_as_wt	filtered	2
Zkscan14	hom_vs_het_wt	not_used	filtered	2
Zkscan14	hom_vs_het_wt	ko_response	filtered	94
Zkscan17	hom_vs_het_wt	ko_response	unfiltered	60
Zkscan17	hom_vs_het_wt	ko_response	filtered	NA
4933434E20Rik	het_vs_wt	ko_response	unfiltered	0
4933434E20Rik	het_vs_wt	ko_response	filtered	NA
Adamts3	het_vs_wt	ko_response	unfiltered	1
Adamts3	het_vs_wt	ko_response	filtered	NA
Anks6	het_vs_wt	ko_response	unfiltered	0
Anks6	het_vs_wt	ko_response	filtered	NA
Atxn10	het_vs_wt	ko_response	unfiltered	1
Atxn10	het_vs_wt	ko_response	filtered	NA
B9d2	het_vs_wt	ko_response	unfiltered	0
B9d2	het_vs_wt	ko_response	filtered	NA
Bap1	het_vs_wt	ko_response	unfiltered	3
Bap1	het_vs_wt	mrna_abnormal	filtered	0
Bap1	het_vs_wt	mrna_as_wt	filtered	0
Bap1	het_vs_wt	not_used	filtered	2
Bap1	het_vs_wt	ko_response	filtered	1
Brd2	het_vs_wt	ko_response	unfiltered	757
Brd2	het_vs_wt	mrna_abnormal	filtered	112
Brd2	het_vs_wt	mrna_as_wt	filtered	153
Brd2	het_vs_wt	not_used	filtered	202
Brd2	het_vs_wt	ko_response	filtered	760
Camsap3	het_vs_wt	ko_response	unfiltered	1
Camsap3	het_vs_wt	ko_response	filtered	NA
Cc2d2a	het_vs_wt	ko_response	unfiltered	2
Cc2d2a	het_vs_wt	ko_response	filtered	NA
Ccdc6	het_vs_wt	ko_response	unfiltered	1
Ccdc6	het_vs_wt	mrna_abnormal	filtered	0
Ccdc6	het_vs_wt	mrna_as_wt	filtered	0
Ccdc6	het_vs_wt	not_used	filtered	0
Ccdc6	het_vs_wt	ko_response	filtered	1
Cnot4	het_vs_wt	ko_response	unfiltered	4
Cnot4	het_vs_wt	mrna_abnormal	filtered	2
Cnot4	het_vs_wt	mrna_as_wt	filtered	3
Cnot4	het_vs_wt	not_used	filtered	11
Cnot4	het_vs_wt	ko_response	filtered	8
Col4a3bp	het_vs_wt	ko_response	unfiltered	1
Col4a3bp	het_vs_wt	mrna_abnormal	filtered	0
Col4a3bp	het_vs_wt	mrna_as_wt	filtered	0
Col4a3bp	het_vs_wt	not_used	filtered	0
Col4a3bp	het_vs_wt	ko_response	filtered	2
Copg	het_vs_wt	ko_response	unfiltered	1
Copg	het_vs_wt	mrna_abnormal	filtered	0
Copg	het_vs_wt	mrna_as_wt	filtered	0
